snapshot_month,model_id,occupation_code,occupation_label,realized_occupation_exposure_100,weighted_dae_100,weighted_se_100,weighted_oc_100,weighted_ic_100,benchmark_coverage_ratio,included_task_count
2026-04,forgecode_gpt_5_4,15-1299.09,Project Management Specialists / Information Project Managers,25.0371,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,friday,15-1299.09,Project Management Specialists / Information Project Managers,13.9982,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,gemini_cli_gemini_2_5_flash,15-1299.09,Project Management Specialists / Information Project Managers,4.7136,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,gemini_cli_gemini_2_5_pro,15-1299.09,Project Management Specialists / Information Project Managers,5.9991,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,gemini_cli_gemini_3_flash,15-1299.09,Project Management Specialists / Information Project Managers,14.5081,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,goose_claude_haiku_4_5,15-1299.09,Project Management Specialists / Information Project Managers,10.8657,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,goose_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,16.6200,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,goose_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,13.1919,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,gpt3_5,15-1299.09,Project Management Specialists / Information Project Managers,1.9650,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,gpt4,15-1299.09,Project Management Specialists / Information Project Managers,2.4552,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,gpt4_turbo,15-1299.09,Project Management Specialists / Information Project Managers,3.9300,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,gpt_3_5,15-1299.09,Project Management Specialists / Information Project Managers,0.9805,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,grok_cli_grok_4_20_reasoning,15-1299.09,Project Management Specialists / Information Project Managers,17.5382,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,h2ogpte_agent_v1_6_8,15-1299.09,Project Management Specialists / Information Project Managers,25.7841,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,hero_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,31.6751,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,hey_0_3,15-1299.09,Project Management Specialists / Information Project Managers,10.3112,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,honey_agent,15-1299.09,Project Management Specialists / Information Project Managers,0.0000,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,hugging_face_agents_gpt_4o,15-1299.09,Project Management Specialists / Information Project Managers,17.9241,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,huggingface_agents_llama3_70b,15-1299.09,Project Management Specialists / Information Project Managers,6.8755,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,ii_agent_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,18.9156,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,indusagi_coding_agent_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,21.1499,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,infantagent,15-1299.09,Project Management Specialists / Information Project Managers,22.3444,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,infantagent_04_17,15-1299.09,Project Management Specialists / Information Project Managers,23.0817,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,junie_cli_gemini_3_flash,15-1299.09,Project Management Specialists / Information Project Managers,19.6808,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,junie_cli_multiple,15-1299.09,Project Management Specialists / Information Project Managers,21.7315,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,kkm_agent,15-1299.09,Project Management Specialists / Information Project Managers,22.8346,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,langfun_agent_2_3,15-1299.09,Project Management Specialists / Information Project Managers,32.1654,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,langfun_agent_v2_0,15-1299.09,Project Management Specialists / Information Project Managers,22.1013,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,langfun_agent_v2_1,15-1299.09,Project Management Specialists / Information Project Managers,28.9768,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,langfun_agent_v2_2,15-1299.09,Project Management Specialists / Information Project Managers,31.1849,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,letta_code_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,18.0892,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,letta_code_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,17.1403,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,letta_code_gpt_5_1_codex,15-1299.09,Project Management Specialists / Information Project Managers,16.3751,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,lrc_huawei,15-1299.09,Project Management Specialists / Information Project Managers,16.4534,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,magentic_1,15-1299.09,Project Management Specialists / Information Project Managers,14.9786,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,magentic_1_o1,15-1299.09,Project Management Specialists / Information Project Managers,18.6615,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,masteragent,15-1299.09,Project Management Specialists / Information Project Managers,40.2685,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,masteragent20250510,15-1299.09,Project Management Specialists / Information Project Managers,40.2685,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,maya_v2_claude_4_5_sonnet,15-1299.09,Project Management Specialists / Information Project Managers,13.0695,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,maya_v2_claude_4_6_opus,15-1299.09,Project Management Specialists / Information Project Managers,22.0682,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_claude_haiku_4_5,15-1299.09,Project Management Specialists / Information Project Managers,9.1211,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_claude_opus_4_1,15-1299.09,Project Management Specialists / Information Project Managers,10.7433,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,13.0083,68.0900,20.0300,72.3800,28.3700,0.0543,21
